"ACDT","Demand","Time","DSTTime","Year","Temp","WtdTemp"
2020-11-17 14:00:00,7278.46,0.541666666666667,0.583333333333333,0.719292237442922,20.2,20.12
2020-11-17 14:30:00,7349.61,0.5625,0.604166666666667,0.719349315068493,21.1,20.66
2020-11-17 15:00:00,7442.32,0.583333333333333,0.625,0.719406392694064,20.55,20.33
2020-11-17 15:30:00,7639.02,0.604166666666667,0.645833333333333,0.719463470319635,20,20
2020-11-17 16:00:00,7756.3,0.625,0.666666666666667,0.719520547945205,20.8,20.48
2020-11-17 16:30:00,7986.06,0.645833333333333,0.6875,0.719577625570776,21.6,20.96
2020-11-17 17:00:00,8139.07,0.666666666666667,0.708333333333333,0.719634703196347,21.55,21.0207968978322
2020-11-17 17:30:00,8334.07,0.6875,0.729166666666667,0.719691780821918,21.5,21.2
2020-11-17 18:00:00,8338.27,0.708333333333333,0.75,0.719748858447489,20.95,20.8943502884254
2020-11-17 18:30:00,8269.01,0.729166666666667,0.770833333333333,0.719805936073059,20.4,20.4
2020-11-17 19:00:00,8204.59,0.75,0.791666666666667,0.71986301369863,19.7,19.7019848188332
2020-11-17 19:30:00,8164.92,0.770833333333333,0.8125,0.719920091324201,19,19.0263295671506
2020-11-17 20:00:00,8147.93,0.791666666666667,0.833333333333333,0.719977168949772,18.8,18.8704870436235
2020-11-17 20:30:00,7932.43,0.8125,0.854166666666667,0.720034246575342,18.6,18.7444592851236
2020-11-17 21:00:00,7760.82,0.833333333333333,0.875,0.720091324200913,17.8,18.1492781086734
2020-11-17 21:30:00,7512.03,0.854166666666667,0.895833333333333,0.720148401826484,17,17.6730215688067
2020-11-17 22:00:00,7436.21,0.875,0.916666666666667,0.720205479452055,16.2,17.3346171808847
2020-11-17 22:30:00,7302.41,0.895833333333333,0.9375,0.720262557077626,15.4,17.1479091111244
2020-11-17 23:00:00,7247.57,0.916666666666667,0.958333333333333,0.720319634703196,15.5,17.6009322712388
2020-11-17 23:30:00,7164.52,0.9375,0.979166666666667,0.720376712328767,15.6,18.0529795625384
2020-11-18,7096.99,0.958333333333333,1,0.720433789954338,15.3,18.355
2020-11-18 00:30:00,7013.23,0.979166666666667,1.02083333333333,0.720490867579909,15,18.25
2020-11-18 01:00:00,6840.17,0,0.0416666666666667,0.720547945205479,14.35,18.3468242089294
2020-11-18 01:30:00,6609.95,0.0208333333333333,0.0625,0.72060502283105,13.7,18.3200138702035
2020-11-18 02:00:00,6372.42,0.0416666666666667,0.0833333333333333,0.720662100456621,14.7,18.7071498910433
2020-11-18 02:30:00,6188.14,0.0625,0.104166666666667,0.720719178082192,15.7,19.0312978999351
2020-11-18 03:00:00,6004.98,0.0833333333333333,0.125,0.720776255707763,14.85,18.911196938865
2020-11-18 03:30:00,5962.22,0.104166666666667,0.145833333333333,0.720833333333333,14,18.7827067523629
2020-11-18 04:00:00,5974.64,0.125,0.166666666666667,0.720890410958904,13.65,18.73
2020-11-18 04:30:00,6024.01,0.145833333333333,0.1875,0.720947488584475,13.3,18.5780196647944
2020-11-18 05:00:00,6235.63,0.166666666666667,0.208333333333333,0.721004566210046,13.2,18.3153288904374
2020-11-18 05:30:00,6449.25,0.1875,0.229166666666667,0.721061643835616,13.1,17.9089295602045
2020-11-18 06:00:00,6829.83,0.208333333333333,0.25,0.721118721461187,15.25,18.2294576808202
2020-11-18 06:30:00,7124.52,0.229166666666667,0.270833333333333,0.721175799086758,17.4,18.83
2020-11-18 07:00:00,7273.06,0.25,0.291666666666667,0.721232876712329,21.5,20.7908813728906
2020-11-18 07:30:00,7412.81,0.270833333333333,0.3125,0.7212899543379,25.6,23.3428993532095
2020-11-18 08:00:00,7437.95,0.291666666666667,0.333333333333333,0.72134703196347,26.4,24.1744271909999
2020-11-18 08:30:00,7321.95,0.3125,0.354166666666667,0.721404109589041,27.2,24.9519017293313
2020-11-18 09:00:00,7290.53,0.333333333333333,0.375,0.721461187214612,28.1,25.67
2020-11-18 09:30:00,7210.4,0.354166666666667,0.395833333333333,0.721518264840183,29,26.1681980515339
2020-11-18 10:00:00,7144.17,0.375,0.416666666666667,0.721575342465753,29.1,25.915
2020-11-18 10:30:00,7019.64,0.395833333333333,0.4375,0.721632420091324,29.2,25.6547308806542
2020-11-18 11:00:00,6852.82,0.416666666666667,0.458333333333333,0.721689497716895,28.5,25.1
2020-11-18 11:30:00,6815.2,0.4375,0.479166666666667,0.721746575342466,27.8,24.68
2020-11-18 12:00:00,6803.11,0.458333333333333,0.5,0.721803652968037,28.4,25.04
2020-11-18 12:30:00,6767.74,0.479166666666667,0.520833333333333,0.721860730593607,29,25.4
2020-11-18 13:00:00,6711.27,0.5,0.541666666666667,0.721917808219178,29.15,25.49
2020-11-18 13:30:00,6748.17,0.520833333333333,0.5625,0.721974885844749,29.3,25.58
2020-11-18 14:00:00,6771.11,0.541666666666667,0.583333333333333,0.72203196347032,29.65,25.79
2020-11-18 14:30:00,6810.93,0.5625,0.604166666666667,0.72208904109589,30,26
2020-11-18 15:00:00,6850.86,0.583333333333333,0.625,0.722146118721461,30.5,26.3
2020-11-18 15:30:00,7055.12,0.604166666666667,0.645833333333333,0.722203196347032,31,26.6
2020-11-18 16:00:00,7272.01,0.625,0.666666666666667,0.722260273972603,31.15,26.69
2020-11-18 16:30:00,7545.88,0.645833333333333,0.6875,0.722317351598174,31.3,26.78
2020-11-18 17:00:00,7843.64,0.666666666666667,0.708333333333333,0.722374429223744,30.4,26.849217895132
2020-11-18 17:30:00,8131.55,0.6875,0.729166666666667,0.722431506849315,29.5,27.6
2020-11-18 18:00:00,8265.02,0.708333333333333,0.75,0.722488584474886,27.2,26.7782337649086
2020-11-18 18:30:00,8352.72,0.729166666666667,0.770833333333333,0.722545662100457,24.9,24.9
2020-11-18 19:00:00,8319.29,0.75,0.791666666666667,0.722602739726027,24.2,24.1722125363349
2020-11-18 19:30:00,8304.94,0.770833333333333,0.8125,0.722659817351598,23.5,23.407846514973
2020-11-18 20:00:00,8244.13,0.791666666666667,0.833333333333333,0.722716894977169,22.3,22.164899833055
2020-11-18 20:30:00,8003.79,0.8125,0.854166666666667,0.72277397260274,21.1,20.9864962759743
2020-11-18 21:00:00,7884.19,0.833333333333333,0.875,0.722831050228311,21.55,21.3039176961619
2020-11-18 21:30:00,7617.9,0.854166666666667,0.895833333333333,0.722888127853881,22,21.5513189541289
2020-11-18 22:00:00,7597.61,0.875,0.916666666666667,0.722945205479452,23.15,22.2094620737403
2020-11-18 22:30:00,7527.07,0.895833333333333,0.9375,0.723002283105023,24.3,22.6660849613403
2020-11-18 23:00:00,7425.79,0.916666666666667,0.958333333333333,0.723059360730594,23.9,22.079192031593
2020-11-18 23:30:00,7268.46,0.9375,0.979166666666667,0.723116438356164,23.5,21.5487662570717
2020-11-19,7127.85,0.958333333333333,1,0.723173515981735,22.45,20.8575
2020-11-19 00:30:00,7034.44,0.979166666666667,1.02083333333333,0.723230593607306,21.4,20.49
2020-11-19 01:00:00,6878.47,0,0.0416666666666667,0.723287671232877,22.8,20.8192729584067
2020-11-19 01:30:00,6686.43,0.0208333333333333,0.0625,0.723344748858447,24.2,21.1199907531977
2020-11-19 02:00:00,6422.21,0.0416666666666667,0.0833333333333333,0.723401826484018,23.95,20.963539232147
2020-11-19 02:30:00,6194.62,0.0625,0.104166666666667,0.723458904109589,23.7,20.8335343651721
2020-11-19 03:00:00,6068.27,0.0833333333333333,0.125,0.72351598173516,23.85,20.8139595699747
2020-11-19 03:30:00,5993.61,0.104166666666667,0.145833333333333,0.723573059360731,24,20.8115288317581
