"ACDT","Demand","Time","DSTTime","Year","Temp"
2020-03-11 16:00:00,1468,0.625,0.666666666666667,0.0171232876712329,28.1
2020-03-11 16:30:00,1572,0.645833333333333,0.6875,0.0171803652968037,28.2
2020-03-11 17:00:00,1680,0.666666666666667,0.708333333333333,0.0172374429223744,27.85
2020-03-11 17:30:00,1783,0.6875,0.729166666666667,0.0172945205479452,27.5
2020-03-11 18:00:00,1872,0.708333333333333,0.75,0.017351598173516,26.85
2020-03-11 18:30:00,1944,0.729166666666667,0.770833333333333,0.0174086757990868,26.2
2020-03-11 19:00:00,1990,0.75,0.791666666666667,0.0174657534246575,26.15
2020-03-11 19:30:00,1995,0.770833333333333,0.8125,0.0175228310502283,26.1
2020-03-11 20:00:00,1975,0.791666666666667,0.833333333333333,0.0175799086757991,25.45
2020-03-11 20:30:00,1937,0.8125,0.854166666666667,0.0176369863013699,24.8
2020-03-11 21:00:00,1864,0.833333333333333,0.875,0.0176940639269406,24.4
2020-03-11 21:30:00,1788,0.854166666666667,0.895833333333333,0.0177511415525114,24
2020-03-11 22:00:00,1713,0.875,0.916666666666667,0.0178082191780822,22.8
2020-03-11 22:30:00,1647,0.895833333333333,0.9375,0.017865296803653,21.6
2020-03-11 23:00:00,1577,0.916666666666667,0.958333333333333,0.0179223744292237,21.4
2020-03-11 23:30:00,1531,0.9375,0.979166666666667,0.0179794520547945,21.2
2020-03-12,1506,0.958333333333333,1,0.0180365296803653,21.35
2020-03-12 00:30:00,1646,0.979166666666667,1.02083333333333,0.0180936073059361,21.5
2020-03-12 01:00:00,1608,0,0.0416666666666667,0.0181506849315068,22.7
2020-03-12 01:30:00,1561,0.0208333333333333,0.0625,0.0182077625570776,23.9
2020-03-12 02:00:00,1467,0.0416666666666667,0.0833333333333333,0.0182648401826484,23.6
2020-03-12 02:30:00,1421,0.0625,0.104166666666667,0.0183219178082192,23.3
2020-03-12 03:00:00,1391,0.0833333333333333,0.125,0.01837899543379,24.15
2020-03-12 03:30:00,1375,0.104166666666667,0.145833333333333,0.0184360730593607,25
2020-03-12 04:00:00,1363,0.125,0.166666666666667,0.0184931506849315,25.25
2020-03-12 04:30:00,1368,0.145833333333333,0.1875,0.0185502283105023,25.5
2020-03-12 05:00:00,1365,0.166666666666667,0.208333333333333,0.0186073059360731,25.8
2020-03-12 05:30:00,1391,0.1875,0.229166666666667,0.0186643835616438,26.1
2020-03-12 06:00:00,1398,0.208333333333333,0.25,0.0187214611872146,26.3
2020-03-12 06:30:00,1478,0.229166666666667,0.270833333333333,0.0187785388127854,26.5
2020-03-12 07:00:00,1555,0.25,0.291666666666667,0.0188356164383562,26.75
2020-03-12 07:30:00,1642,0.270833333333333,0.3125,0.0188926940639269,27
2020-03-12 08:00:00,1656,0.291666666666667,0.333333333333333,0.0189497716894977,27.3
2020-03-12 08:30:00,1663,0.3125,0.354166666666667,0.0190068493150685,27.6
2020-03-12 09:00:00,1657,0.333333333333333,0.375,0.0190639269406393,28.3
2020-03-12 09:30:00,1638,0.354166666666667,0.395833333333333,0.01912100456621,29
2020-03-12 10:00:00,1526,0.375,0.416666666666667,0.0191780821917808,29.15
2020-03-12 10:30:00,1414,0.395833333333333,0.4375,0.0192351598173516,29.3
2020-03-12 11:00:00,1418,0.416666666666667,0.458333333333333,0.0192922374429224,29.45
2020-03-12 11:30:00,1451,0.4375,0.479166666666667,0.0193493150684932,29.6
2020-03-12 12:00:00,1457,0.458333333333333,0.5,0.0194063926940639,29.45
2020-03-12 12:30:00,1346,0.479166666666667,0.520833333333333,0.0194634703196347,29.3
2020-03-12 13:00:00,1373,0.5,0.541666666666667,0.0195205479452055,28.55
2020-03-12 13:30:00,1420,0.520833333333333,0.5625,0.0195776255707763,27.8
2020-03-12 14:00:00,1428,0.541666666666667,0.583333333333333,0.019634703196347,27.7
2020-03-12 14:30:00,1562,0.5625,0.604166666666667,0.0196917808219178,27.6
2020-03-12 15:00:00,1756,0.583333333333333,0.625,0.0197488584474886,27.8
2020-03-12 15:30:00,1749,0.604166666666667,0.645833333333333,0.0198059360730594,28
2020-03-12 16:00:00,1791,0.625,0.666666666666667,0.0198630136986301,27.6
2020-03-12 16:30:00,1904,0.645833333333333,0.6875,0.0199200913242009,27.2
2020-03-12 17:00:00,1972,0.666666666666667,0.708333333333333,0.0199771689497717,27.55
2020-03-12 17:30:00,1959,0.6875,0.729166666666667,0.0200342465753425,27.9
2020-03-12 18:00:00,1920,0.708333333333333,0.75,0.0200913242009132,27.75
2020-03-12 18:30:00,1836,0.729166666666667,0.770833333333333,0.020148401826484,27.6
2020-03-12 19:00:00,1832,0.75,0.791666666666667,0.0202054794520548,27.5
2020-03-12 19:30:00,1896,0.770833333333333,0.8125,0.0202625570776256,27.4
2020-03-12 20:00:00,1901,0.791666666666667,0.833333333333333,0.0203196347031963,25.2
2020-03-12 20:30:00,1912,0.8125,0.854166666666667,0.0203767123287671,23
2020-03-12 21:00:00,1872,0.833333333333333,0.875,0.0204337899543379,23.5
2020-03-12 21:30:00,1809,0.854166666666667,0.895833333333333,0.0204908675799087,24
2020-03-12 22:00:00,1760,0.875,0.916666666666667,0.0205479452054795,25
2020-03-12 22:30:00,1702,0.895833333333333,0.9375,0.0206050228310502,26
2020-03-12 23:00:00,1630,0.916666666666667,0.958333333333333,0.020662100456621,26.2
2020-03-12 23:30:00,1578,0.9375,0.979166666666667,0.0207191780821918,26.4
2020-03-13,1530,0.958333333333333,1,0.0207762557077626,26.35
2020-03-13 00:30:00,1676,0.979166666666667,1.02083333333333,0.0208333333333333,26.3
2020-03-13 01:00:00,1627,0,0.0416666666666667,0.0208904109589041,25.4
2020-03-13 01:30:00,1570,0.0208333333333333,0.0625,0.0209474885844749,24.5
2020-03-13 02:00:00,1479,0.0416666666666667,0.0833333333333333,0.0210045662100457,22.75
2020-03-13 02:30:00,1419,0.0625,0.104166666666667,0.0210616438356164,21
2020-03-13 03:00:00,1421,0.0833333333333333,0.125,0.0211187214611872,20.5
2020-03-13 03:30:00,1429,0.104166666666667,0.145833333333333,0.021175799086758,20
2020-03-13 04:00:00,1411,0.125,0.166666666666667,0.0212328767123288,19.75
2020-03-13 04:30:00,1387,0.145833333333333,0.1875,0.0212899543378995,19.5
2020-03-13 05:00:00,1376,0.166666666666667,0.208333333333333,0.0213470319634703,19.6
2020-03-13 05:30:00,1409,0.1875,0.229166666666667,0.0214041095890411,19.7
2020-03-13 06:00:00,1449,0.208333333333333,0.25,0.0214611872146119,19.7
2020-03-13 06:30:00,1504,0.229166666666667,0.270833333333333,0.0215182648401826,19.7
