"net_load","tempc","Time","DST","year","WtdTemp"
1187,9.35,0.229166666666667,0.1875,0.197888127853881,17.7396879746358
1216,9.3,0.25,0.208333333333333,0.197945205479452,17.349120459953
1233,10.35,0.270833333333333,0.229166666666667,0.198002283105023,17.0755319211556
1301,11.4,0.291666666666667,0.25,0.198059360730594,16.7943865379061
1356,13.85,0.3125,0.270833333333333,0.198116438356164,17.2325
1364,16.3,0.333333333333333,0.291666666666667,0.198173515981735,18.0491592802032
1312,16.65,0.354166666666667,0.3125,0.198230593607306,18.0002298512051
1225,17,0.375,0.333333333333333,0.198287671232877,18.0432372542188
1126,17.05,0.395833333333333,0.354166666666667,0.198344748858447,17.9710958192323
1021,17.1,0.416666666666667,0.375,0.198401826484018,17.97
958,17.55,0.4375,0.395833333333333,0.198458904109589,18.3208794193046
967,18,0.458333333333333,0.416666666666667,0.19851598173516,18.7
1016,17.9,0.479166666666667,0.4375,0.198573059360731,18.7092462120246
974,17.8,0.5,0.458333333333333,0.198630136986301,18.68
953,17.9,0.520833333333333,0.479166666666667,0.198687214611872,18.74
924,18,0.541666666666667,0.5,0.198744292237443,18.8
904,18.25,0.5625,0.520833333333333,0.198801369863014,18.95
870,18.5,0.583333333333333,0.541666666666667,0.198858447488584,19.1
897,18.25,0.604166666666667,0.5625,0.198915525114155,18.95
891,18,0.625,0.583333333333333,0.198972602739726,18.8
897,18,0.645833333333333,0.604166666666667,0.199029680365297,18.8
944,18,0.666666666666667,0.625,0.199086757990868,18.8
1008,17.6,0.6875,0.645833333333333,0.199143835616438,18.56
1135,17.2,0.708333333333333,0.666666666666667,0.199200913242009,18.32
1281,17.15,0.729166666666667,0.6875,0.19925799086758,18.29
1428,17.1,0.75,0.708333333333333,0.199315068493151,18.0901219330882
1539,16.25,0.770833333333333,0.729166666666667,0.199372146118721,17
1601,15.4,0.791666666666667,0.75,0.199429223744292,15.6694617613084
1609,14.5,0.8125,0.770833333333333,0.199486301369863,14.5
1568,13.6,0.833333333333333,0.791666666666667,0.199543378995434,13.6423428017753
1543,13.3,0.854166666666667,0.8125,0.199600456621005,13.4764080999089
1508,13,0.875,0.833333333333333,0.199657534246575,13.4111744211369
1481,12.8,0.895833333333333,0.854166666666667,0.199714611872146,13.5429334663501
1448,12.6,0.916666666666667,0.875,0.199771689497717,13.774844547356
1425,12.15,0.9375,0.895833333333333,0.199828767123288,13.9110731050442
1399,11.7,0.958333333333333,0.916666666666667,0.199885844748858,14.178242789827
1378,12,0.979166666666667,0.9375,0.199942922374429,15.0398419323902
1518,12.3,0,0.958333333333333,0.2,15.8949285530086
1506,11.8,0.0208333333333333,0.979166666666667,0.200057077625571,16.3714619120034
1464,14.4,0.0416666666666667,0,0.205593607305936,18.04
1392,13.45,0.0625,0.0208333333333333,0.205650684931507,17.8991762413808
1334,12.5,0.0833333333333333,0.0416666666666667,0.205707762557078,17.8055188614107
1294,12.75,0.104166666666667,0.0625,0.205764840182648,18.0666826284088
1265,13,0.125,0.0833333333333333,0.205821917808219,18.2924621202459
1238,13.1,0.145833333333333,0.104166666666667,0.20587899543379,18.4455710487331
1221,13.2,0.166666666666667,0.125,0.205936073059361,18.5623571231615
1221,13.25,0.1875,0.145833333333333,0.205993150684932,18.6305450964083
1229,13.3,0.208333333333333,0.166666666666667,0.206050228310502,18.66
1236,13.3,0.229166666666667,0.1875,0.206107305936073,18.5780196647944
1265,13.3,0.25,0.208333333333333,0.206164383561644,18.340103465578
1279,13.05,0.270833333333333,0.229166666666667,0.206221461187215,17.8937768758582
1331,12.8,0.291666666666667,0.25,0.206278538812785,17.3162305898749
1378,13.45,0.3125,0.270833333333333,0.206335616438356,17.0525
1412,14.1,0.333333333333333,0.291666666666667,0.206392694063927,16.889199933297
1418,14.55,0.354166666666667,0.3125,0.206449771689498,16.7466425937515
1393,15,0.375,0.333333333333333,0.206506849315068,16.7387287570313
1307,15.75,0.395833333333333,0.354166666666667,0.206563926940639,17.0770024514364
1270,16.5,0.416666666666667,0.375,0.20662100456621,17.55
1195,17.45,0.4375,0.395833333333333,0.206678082191781,18.2523438853987
1186,18.4,0.458333333333333,0.416666666666667,0.206735159817352,18.96
1183,18.1,0.479166666666667,0.4375,0.206792237442922,18.8321751442127
1070,17.8,0.5,0.458333333333333,0.206849315068493,18.68
1124,18.1,0.520833333333333,0.479166666666667,0.206906392694064,18.86
1146,18.4,0.541666666666667,0.5,0.206963470319635,19.04
1143,19.25,0.5625,0.520833333333333,0.207020547945205,19.55
1061,20.1,0.583333333333333,0.541666666666667,0.207077625570776,20.06
1074,20.05,0.604166666666667,0.5625,0.207134703196347,20.03
1029,20,0.625,0.583333333333333,0.207191780821918,20
1016,19.95,0.645833333333333,0.604166666666667,0.207248858447489,19.97
1040,19.9,0.666666666666667,0.625,0.207305936073059,19.94
1127,18.85,0.6875,0.645833333333333,0.20736301369863,19.31
1247,17.8,0.708333333333333,0.666666666666667,0.207420091324201,18.68
1403,17.4,0.729166666666667,0.6875,0.207477168949772,18.44
1519,17,0.75,0.708333333333333,0.207534246575342,18.0242640687119
1638,15.75,0.770833333333333,0.729166666666667,0.207591324200913,16.6
1704,14.5,0.791666666666667,0.75,0.207648401826484,14.8221825406948
1668,13.4,0.8125,0.770833333333333,0.207705479452055,13.4
1638,12.3,0.833333333333333,0.791666666666667,0.207762557077626,12.3509436833859
1608,12.15,0.854166666666667,0.8125,0.207819634703196,12.356687102132
1575,12,0.875,0.833333333333333,0.207876712328767,12.4699136241565
1537,11.95,0.895833333333333,0.854166666666667,0.207933789954338,12.7806408894608
1503,11.9,0.916666666666667,0.875,0.207990867579909,13.1859784910248
1469,11.55,0.9375,0.895833333333333,0.208047945205479,13.4456774188055
1441,11.2,0.958333333333333,0.916666666666667,0.20810502283105,13.827534524154
1405,11.15,0.979166666666667,0.9375,0.208162100456621,14.5128251377066
1565,11.1,0,0.958333333333333,0.208219178082192,15.2551771586723
1559,11.35,0.0208333333333333,0.979166666666667,0.208276255707763,16.1723348218085
1525,11.6,0.0416666666666667,0,0.208333333333333,17.06
1447,11.5,0.0625,0.0208333333333333,0.208390410958904,17.2737401605706
1394,11.4,0.0833333333333333,0.0416666666666667,0.208447488584475,17.483661627751
1358,11.7,0.104166666666667,0.0625,0.208504566210046,17.7866849401094
1329,12,0.125,0.0833333333333333,0.208561643835616,18.0485281374239
1293,11.5,0.145833333333333,0.104166666666667,0.208618721461187,18.0851237556857
1253,11,0.166666666666667,0.125,0.208675799086758,18.0972373688902
1238,11,0.1875,0.145833333333333,0.208732876712329,18.1740601285444
1221,11,0.208333333333333,0.166666666666667,0.2087899543379,18.2
1225,11.2,0.229166666666667,0.1875,0.20884703196347,18.1323243358493
1253,11.4,0.25,0.208333333333333,0.208904109589041,17.8693865379061
1290,11.9,0.270833333333333,0.229166666666667,0.208961187214612,17.5452651358923
1369,12.4,0.291666666666667,0.25,0.209018264840183,17.1671322893124
1424,14.2,0.3125,0.270833333333333,0.209075342465753,17.39
1460,16,0.333333333333333,0.291666666666667,0.209132420091324,17.8909830056251
1446,16,0.354166666666667,0.3125,0.209189497716895,17.6122147477075
1446,16,0.375,0.333333333333333,0.209246575342466,17.3909830056251
1455,15.7,0.395833333333333,0.354166666666667,0.209303652968037,17.0426142449827
1475,15.4,0.416666666666667,0.375,0.209360730593607,16.78
1465,16,0.4375,0.395833333333333,0.209417808219178,17.2585786437627
1437,16.6,0.458333333333333,0.416666666666667,0.209474885844749,17.79
